Jahr,FDP,LDP_LP,CVP_KVP,EVP_VEW,SP,DSP,SVP_BGP,LdU,GB_FraB_POB,GLP,PdA_KP,VA_SD_UVP_NA,Andere,Total,Kontrolle
1902,51.5384615385,26.9230769231,2.3076923077,0,16.9230769231,0,0,0,0,0,0,0,2.3076923077,100,
1905,39.2307692308,23.0769230769,7.6923076923,0,29.2307692308,0,0,0,0,0,0,0,0.7692307692,100,
1908,32.3076923077,20.7692307692,13.0769230769,0,33.0769230769,0,0,0,0,0,0,0,0.7692307692,100,
1911,27.6923076923,17.6923076923,13.0769230769,0,36.1538461538,0,4.6153846154,0,0,0,0,0,0.7692307692,100,
1914,23.0769230769,16.9230769231,13.0769230769,0,33.8461538462,0,13.0769230769,0,0,0,0,0,0,100,
1917,16.9230769231,13.8461538462,11.5384615385,0,45.3846153846,0,12.3076923077,0,0,0,0,0,0,100,
1920,13.8461538462,13.8461538462,8.4615384615,1.5384615385,48.4615384615,0,10,0,0,0,0,0,3.8461538462,100,
1923,14.6153846154,13.8461538462,8.4615384615,1.5384615385,34.6153846154,0,10.7692307692,0,0,0,12.3076923077,0,3.8461538462,100,
1926,12.3076923077,13.8461538462,10,2.3076923077,30,0,11.5384615385,0,0,0,16.9230769231,0,3.0769230769,100,
1929,13.8461538462,13.8461538462,10,2.3076923077,26.1538461538,0,11.5384615385,0,0,0,19.2307692308,0,3.0769230769,100,
1932,17.6923076923,12.3076923077,10.7692307692,2.3076923077,29.2307692308,0,10,0,0,0,14.6153846154,0,3.0769230769,100,
1935,15.3846153846,11.5384615385,10,2.3076923077,35.3846153846,0,7.6923076923,0,0,0,12.3076923077,0,5.3846153846,100,
1938,14.6153846154,12.3076923077,10.7692307692,0.7692307692,39.2307692308,0,3.8461538462,3.8461538462,0,0,11.5384615385,0,3.0769230769,100,
1941,13.0769230769,11.5384615385,8.4615384615,0.7692307692,42.3076923077,0,3.0769230769,16.1538461538,0,0,0,0,4.6153846154,100,
1944,13.0769230769,12.3076923077,10,0,34.6153846154,0,4.6153846154,6.9230769231,0,0,13.8461538462,0,4.6153846154,100,
1947,14.6153846154,13.0769230769,10,1.5384615385,24.6153846154,0,3.8461538462,4.6153846154,0,0,23.8461538462,0,3.8461538462,100,
1950,15.3846153846,10,12.3076923077,3.0769230769,29.2307692308,0,3.8461538462,7.6923076923,0,0,13.8461538462,0,4.6153846154,100,
1953,19.2307692308,10.7692307692,13.8461538462,3.8461538462,29.2307692308,0,3.8461538462,5.3846153846,0,0,10.7692307692,0,3.0769230769,100,
1956,16.1538461538,9.2307692308,14.6153846154,3.8461538462,30.7692307692,0,3.0769230769,6.9230769231,0,0,12.3076923077,0,3.0769230769,100,
1960,18.4615384615,13.8461538462,15.3846153846,3.8461538462,30,0,0,6.9230769231,0,0,6.1538461538,0,5.3846153846,100,
1964,19.2307692308,13.8461538462,14.6153846154,3.8461538462,32.3076923077,0,0,8.4615384615,0,0,6.1538461538,0,1.5384615385,100,
1968,14.6153846154,14.6153846154,15.3846153846,3.8461538462,27.6923076923,0,0,14.6153846154,0,0,6.1538461538,1.5384615385,1.5384615385,100,
1972,10,14.6153846154,13.0769230769,4.6153846154,27.6923076923,0,0,9.2307692308,3.8461538462,0,6.9230769231,7.6923076923,2.3076923077,100,
1976,13.0769230769,14.6153846154,12.3076923077,4.6153846154,30,0,0,6.1538461538,5.3846153846,0,6.1538461538,6.9230769231,0.7692307692,100,
1980,16.1538461538,13.8461538462,13.8461538462,5.3846153846,28.4615384615,0,0,3.8461538462,10,0,4.6153846154,3.0769230769,0.7692307692,100,
1984,16.1538461538,11.5384615385,11.5384615385,7.6923076923,21.5384615385,8.4615384615,0,3.8461538462,11.5384615385,0,2.3076923077,5.3846153846,0,100,
1988,14.6153846154,11.5384615385,11.5384615385,5.3846153846,20.7692307692,6.9230769231,0,6.1538461538,13.0769230769,0,1.5384615385,7.6923076923,0.7692307692,100,
1992,16.1538461538,13.0769230769,11.5384615385,4.6153846154,24.6153846154,7.6923076923,2.3076923077,2.3076923077,10.7692307692,0,0.7692307692,6.1538461538,0,100,
1996,13.0769230769,10.7692307692,10,4.6153846154,30,7.6923076923,2.3076923077,0,15.3846153846,0,0,6.1538461538,0,100,
2000,13.8461538462,12.3076923077,10.7692307692,4.6153846154,30,4.6153846154,10.7692307692,0,9.2307692308,0,0,3.8461538462,0,100,
2004,13.0769230769,9.2307692308,8.4615384615,4.6153846154,35.3846153846,4.6153846154,11.5384615385,0,12.3076923077,0,0,0,0.7692307692,100,
2008,11,9,8,4,32,3,14,0,13,5,0,0,1,100,
2012,12,10,8,1,33,0,15,0,13,5,0,2,1,100,
