Jahr,FDP,CVP,SP,SVP,Demokraten,LPS,LdU,EVP,CSP,GLP,BDP,PdA,PSA ,POCH,GPS,FGA ,Sol.,SD,Republikaner,EDU,FPS,Lega,MCR,Uebrige 
1919,28.849723569097,20.9718108733503,23.4597559163975,15.3287660782947,1.96425870881139,3.81382301730587,,0.807143440269913,,,,,,,,,,,,,,,,4.80471839647325
1922,28.3418935626712,20.947053665285,23.2806466195718,16.1194655802528,2.06208027189394,3.95436299366561,,0.858655453946329,,,,1.83019155669087,,,,,,,,,,,,2.60565029602235
1925,27.7653396156137,20.9051216990126,25.845559710574,15.2635747412526,2.2001428035483,2.9874448518783,,0.926206064713404,,,,1.99508121111393,,,,,,,,,,,,2.11152930229306
1928,27.3593195187216,21.4410264887081,27.3600652243891,15.7792562083104,1.7490526430916,2.95200016902662,,0.698229073323995,,,,1.84164443013794,,,,,,,,,,,,0.819406244290691
1931,26.9390043450007,21.383519577987,28.7210222277309,15.268200409827,1.24245474585047,2.84643301042175,,0.979275817771759,,,,1.48014979885114,,,,,,,,,,,,1.13994006655925
1935,23.7174105085477,20.2569612368818,28.0061914149945,10.979471781225,1.16745829059586,3.33609553344579,4.14450429819501,0.74218164184153,,,,1.37588216169708,,,,,,,,,,,,6.27384313257575
1939,20.7204789396847,16.9785605618455,25.9286084978489,14.741654851075,2.73081630244465,1.65569177392314,7.07076259472009,0.925738804558528,,,,2.58062221417451,,,,,,,,,,,,6.66706545972487
1943,22.4777775251779,20.7920521972401,28.5966308227431,11.5941073498988,3.36769954759361,3.23209129970218,5.51947166208198,0.412280901175347,,,,,,,,,,,,,,,,4.00788869438698
1947,22.9604274555419,21.1605488775751,26.2031038637407,12.0772227469496,2.92579197677361,3.1753007173897,4.41826245695297,0.944717568810158,,,,5.13940103323277,,,,,,,,,,,,0.995223303033364
1951,23.9924576026159,22.5290120208258,25.9862215002007,12.5657047648565,2.24711855874895,2.5806605941978,5.10661488635442,0.994177835003297,,,,2.66864829672033,,,,,,,,,,,,1.32938394047622
1955,23.2986130680042,23.1707304576824,27.0176607114495,12.0757868418221,2.15217825688214,2.22237023450269,5.47702365520881,1.08423549664667,,,,2.56789921046834,,,,,,,,,,,,0.933502067333063
1959,23.6730559768723,23.3199303724666,26.3789610839093,11.5649907875851,2.154992518094,2.33455826216191,5.50189847002657,1.42899314922076,,,,2.68188157211641,,,,,,,,,,,,0.960737807547055
1963,23.935559069986,23.4115138149351,26.624722250816,11.3545218139036,1.76532546433633,2.2356144898513,5.01419809118595,1.63140278804553,,,,2.1926718925624,,,,,,,,,,,,1.83447032437777
1967,23.1519306775282,22.0540766797337,23.5320692902738,11.0299562911029,1.43583324613019,2.33516594086822,9.05067978201898,1.58253575999549,,,,2.89007977074965,,,,,,0.63138427606636,0.170649837802159,,,,,2.13563844773044
1971,21.8,20.3,22.8996359316151,11.0668713115215,,2.19393068990671,7.63361862457536,2.14716248422829,0.3,,,2.57696440902912,0.264558223648814,0.0913463010738508,,,,3.20133734158201,4.25132006150069,,,,,1.23871752428991
